velocidad_bala,distancia,tiempo_impacto,salto
-10.634106020762715,211.7831086504226,19.91545958230279,0
-10.634106020762715,201.1490026296599,18.91545958230279,0
-10.634106020762715,190.51489660889717,17.91545958230279,0
-10.634106020762715,179.88079058813446,16.91545958230279,0
-10.634106020762715,169.24668456737174,15.91545958230279,0
-10.634106020762715,158.61257854660903,14.91545958230279,0
-10.634106020762715,147.9784725258463,13.91545958230279,0
-10.634106020762715,137.3443665050836,12.91545958230279,0
-10.634106020762715,126.71026048432088,11.91545958230279,0
-10.634106020762715,116.07615446355817,10.91545958230279,0
-10.634106020762715,105.44204844279545,9.91545958230279,0
-10.634106020762715,94.80794242203274,8.91545958230279,0
-10.634106020762715,84.17383640127002,7.915459582302789,0
-10.634106020762715,73.53973038050731,6.915459582302789,0
-10.634106020762715,62.90562435974459,5.915459582302789,0
-10.634106020762715,52.27151833898188,4.915459582302789,1
-10.634106020762715,41.63741231821916,3.91545958230279,0
-10.634106020762715,31.003306297456447,2.91545958230279,0
-10.634106020762715,20.369200276693732,1.9154595823027898,0
-10.634106020762715,9.735094255931017,0.9154595823027898,0
-10.634106020762715,-0.8990117648316982,-0.08454041769721024,0
-10.634106020762715,-11.533117785594413,-1.0845404176972102,0
-9.302058596972554,219.64766382403286,23.61280156797973,0
-9.302058596972554,210.34560522706033,22.612801567979734,0
-9.302058596972554,201.0435466300878,21.612801567979737,0
-9.302058596972554,191.74148803311527,20.61280156797974,0
-9.302058596972554,182.43942943614275,19.61280156797974,0
-9.302058596972554,173.13737083917022,18.612801567979744,0
-9.302058596972554,163.8353122421977,17.612801567979748,0
-9.302058596972554,154.53325364522516,16.61280156797975,0
-9.302058596972554,145.23119504825263,15.612801567979753,0
-9.302058596972554,135.9291364512801,14.612801567979755,0
-9.302058596972554,126.62707785430757,13.612801567979758,0
-9.302058596972554,117.32501925733504,12.61280156797976,0
-9.302058596972554,108.02296066036251,11.612801567979764,0
-9.302058596972554,98.72090206338999,10.612801567979767,0
-9.302058596972554,89.41884346641746,9.61280156797977,0
-9.302058596972554,80.11678486944493,8.612801567979773,0
-9.302058596972554,70.8147262724724,7.6128015679797745,1
-9.302058596972554,61.51266767549987,6.612801567979777,0
-9.302058596972554,52.21060907852734,5.61280156797978,0
-9.302058596972554,42.908550481554784,4.61280156797978,0
-9.302058596972554,33.606491884582226,3.612801567979779,0
-9.302058596972554,24.30443328760967,2.612801567979779,0
-9.302058596972554,15.002374690637112,1.6128015679797783,0
-9.302058596972554,5.700316093664554,0.6128015679797779,0
-9.302058596972554,-3.601742503308003,-0.3871984320202224,0
-9.302058596972554,-12.90380110028056,-1.3871984320202229,0
-8.91410867801151,215.30076236902187,24.1528087827901,0
-8.91410867801151,206.38665369101034,23.1528087827901,0
-8.91410867801151,197.4725450129988,22.152808782790096,0
-8.91410867801151,188.55843633498728,21.152808782790093,0
-8.91410867801151,179.64432765697575,20.152808782790093,0
-8.91410867801151,170.73021897896422,19.15280878279009,0
-8.91410867801151,161.8161103009527,18.15280878279009,0
-8.91410867801151,152.90200162294116,17.152808782790085,0
-8.91410867801151,143.98789294492963,16.152808782790082,0
-8.91410867801151,135.0737842669181,15.15280878279008,0
-8.91410867801151,126.15967558890657,14.152808782790078,0
-8.91410867801151,117.24556691089504,13.152808782790077,0
-8.91410867801151,108.3314582328835,12.152808782790075,0
-8.91410867801151,99.41734955487198,11.152808782790073,0
-8.91410867801151,90.50324087686045,10.15280878279007,0
-8.91410867801151,81.58913219884892,9.152808782790068,0
-8.91410867801151,72.67502352083739,8.152808782790066,0
-8.91410867801151,63.760914842825855,7.152808782790063,1
-8.91410867801151,54.846806164814325,6.1528087827900615,0
-8.91410867801151,45.93269748680282,5.152808782790062,0
-8.91410867801151,37.01858880879132,4.152808782790063,0
-8.91410867801151,28.10448013077982,3.152808782790064,0
-8.91410867801151,19.190371452768318,2.152808782790065,0
-8.91410867801151,10.276262774756816,1.1528087827900662,0
-8.91410867801151,1.3621540967453143,0.15280878279006724,0
-8.91410867801151,-7.5519545812661875,-0.8471912172099317,0
-8.91410867801151,-16.46606325927769,-1.8471912172099307,0
-10.827844322904038,219.70658604252515,20.290888887068856,0
-10.827844322904038,208.87874171962113,19.290888887068856,0
-10.827844322904038,198.05089739671712,18.29088888706886,0
-10.827844322904038,187.2230530738131,17.290888887068864,0
-10.827844322904038,176.3952087509091,16.290888887068864,0
-10.827844322904038,165.56736442800508,15.290888887068867,0
-10.827844322904038,154.73952010510106,14.290888887068869,0
-10.827844322904038,143.91167578219705,13.29088888706887,0
-10.827844322904038,133.08383145929304,12.290888887068874,0
-10.827844322904038,122.25598713638902,11.290888887068876,0
-10.827844322904038,111.42814281348501,10.290888887068878,0
-10.827844322904038,100.600298490581,9.290888887068881,0
-10.827844322904038,89.77245416767698,8.290888887068883,0
-10.827844322904038,78.94460984477297,7.290888887068885,1
-10.827844322904038,68.11676552186896,6.2908888870688875,0
-10.827844322904038,57.28892119896494,5.290888887068889,0
-10.827844322904038,46.46107687606093,4.290888887068892,0
-10.827844322904038,35.63323255315689,3.2908888870688915,0
-10.827844322904038,24.805388230252845,2.290888887068891,0
-10.827844322904038,13.977543907348803,1.2908888870688908,0
-10.827844322904038,3.149699584444761,0.2908888870688906,0
-10.827844322904038,-7.678144738459281,-0.7091111129311097,0
-10.827844322904038,-18.505989061363323,-1.70911111293111,0
-11.390892907849974,209.76463971329986,18.415118236142987,0
-11.390892907849974,198.37374680544985,17.415118236142984,0
-11.390892907849974,186.98285389759985,16.41511823614298,0
-11.390892907849974,175.59196098974985,15.415118236142979,0
-11.390892907849974,164.20106808189985,14.415118236142975,0
-11.390892907849974,152.81017517404985,13.415118236142973,0
-11.390892907849974,141.41928226619984,12.415118236142971,0
-11.390892907849974,130.02838935834984,11.415118236142968,0
-11.390892907849974,118.63749645049984,10.415118236142966,0
-11.390892907849974,107.24660354264984,9.415118236142963,0
-11.390892907849974,95.85571063479983,8.41511823614296,0
-11.390892907849974,84.46481772694983,7.415118236142958,1
-11.390892907849974,73.07392481909983,6.4151182361429555,0
-11.390892907849974,61.68303191124983,5.415118236142954,0
